order_id,order_purchase_timestamp,order_value,n_items,customer_state,payment_installments,dominant_category,high_value
34513ce0c4fab462a55830c0989c7edb,2017-07-13,114.13,1,SP,1,computers_accessories,0
2807d0e504d6d4894d41672727bc139f,2018-02-03,17.28,1,SP,1,electronics,0
60550084e6b4c0cb89a87df1f3e5ebd9,2018-02-21,66.78999999999999,1,CE,1,electronics,0
5acce57f8d9dfd55fa48e212a641a69d,2017-07-31,43.0,1,SP,1,computers_accessories,0
688052146432ef8253587b930b01a06d,2018-04-22,346.09,2,MG,3,computers_accessories,1
cadbb3657dac2dbbd5b84b12e7b78aad,2018-02-27,409.78999999999996,1,SP,1,computers_accessories,1
86f21bf63784876b9fd6d35f46581d72,2018-04-11,120.84,1,MG,4,computers_accessories,0
8eeda294fab8a5ed70259afb59a10ff8,2018-02-06,187.20000000000002,2,PR,1,computers_accessories,0
663830a477534735bbdec9de01113fa2,2018-07-15,38.41,1,SP,1,electronics,0
b0928556a10706af462ca2ab2c91903b,2018-08-03,106.73,1,MG,1,computers_accessories,0
f61b61c2cbb4192ccaf9c2c76a4cc971,2018-02-28,49.730000000000004,1,RS,1,computers_accessories,0
b616f638cd86d92c7cbd06cf7484ee34,2018-05-23,20.75,1,SP,1,computers_accessories,0
b88d7ae9bd78eac18e8b6ceb04695fb8,2017-07-17,46.0,1,RJ,2,computers_accessories,0
38c4ae942b818085578157aabd4abf9e,2018-03-18,183.65,1,RJ,2,computers_accessories,0
7156f3e0b94405abcbad1a8c94557338,2017-04-20,28.46,1,SP,2,computers_accessories,0
884cb4ce4a06390d35206de06f785d13,2018-04-03,24.38,1,SP,1,computers_accessories,0
09d3f9f1be63c067456cc619076685a1,2017-08-23,63.86,1,SP,1,computers_accessories,0
6f5a2dbe5ccce73a9d053a542baabd1c,2018-06-26,307.64,2,PR,4,computers_accessories,1
cedd898e1a953e9a8f3d763a364f6717,2017-08-17,44.0,1,ES,1,computers_accessories,0
858505c5992f35429d07aae37bad60a8,2018-08-16,44.41,1,ES,4,computers_accessories,0
0b0f3c7a9bcb6ad1fccab28f9240da6f,2018-07-11,96.47,1,SP,1,computers_accessories,0
2728209b1b0553533bce4afc52716b60,2017-10-24,383.98,2,RS,1,computers_accessories,1
cbbb524a0e1646aa6cf7a3c0bbe517ad,2016-10-05,95.58,1,PE,1,computers_accessories,0
ed01ce003df13cab401ba2ff57ea2542,2017-11-06,138.48,2,SP,8,electronics,0
6cd474b81add3c3d62536cab3e34aa23,2018-08-06,180.32,1,RS,2,computers_accessories,0
e92f3505810692cd4a0350b19e2d9045,2018-06-13,52.92,1,SE,2,computers_accessories,0
